Proposal ID,Date,Country,Event,Primary source,Final URL,Proposed action,Confidence,Evidence,Review status,Created,Last checked
EV-379E7ED727,2026-10-30 to 2026-11-01,Sweden,Swedish Championship Nybro,https://www.swedenbcd.se/,https://www.swedenbcd.se/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-30A1E1F285,2026-10-31,France,Trail du Calvaire,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-F3CD8A2B42,2026-11-07,France,Canicross de Gallician – Acte 2,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-C2F0DDE64F,2026-11-07 to 2026-11-08,France,La Crocôtière #5 – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-F4E49D0A83,2026-11-07 to 2026-11-08,Germany,Visbek – Canicross,https://www.zughunde-nds.de/events-und-ergebnisse/,https://www.zughunde-nds.de/events-und-ergebnisse/,manual-source-check,medium,Automated access failed (403); do not infer an event change.,pending,2026-09-21,2026-09-23
EV-AE5F1CFA99,2026-11-08,France,Canicross d'Eschau,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-36FBA3E260,2026-11-08,France,La Cani Haut-Marnaise – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-968FE7DF24,2026-11-08,France,La Cani Haut-Marnaise – Canitrail,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-14C13C37F3,2026-11-14,France,Canicross de la Vente des Vins des Hospices de Beaune,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-619DEB6D57,2026-11-14,France,Canitrail d’Eguzon,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-9F3FB073E0,2026-11-14 to 2026-11-15,Germany,Ströhen – Canicross,https://tierpark-stroehen.de/veranstaltungen,https://tierpark-stroehen.de/veranstaltungen,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-FEA71FEE97,2026-11-15,France,Championnat de Normandie – 17e Canicross du Bois du Roule,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-FB58FF5F29,2026-11-19 to 2026-11-22,Germany,WSA WM Ströhen – Canicross / Mono,https://vdsv.de/Veranstaltung/stroehen-2024-2-2/,https://vdsv.de/Veranstaltung/stroehen-2024-2-2/,replace-source-or-confirm-cancelled,high,Primary source returns HTTP 404.,pending,2026-09-21,2026-09-23
EV-5F87740CA1,2026-11-21,France,Canicross Coucy la Ville,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-BE81ACCF77,2026-11-21 to 2026-11-22,Germany,Frankonia Open – Lauf an der Pegnitz – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-3C23B0F5A9,2026-11-22,France,Canicross de Maurepas – 2e édition,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-8B6D71C42E,2026-11-22,France,La Course Des Rives – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-C402B2DD88,2026-11-22,France,Régional R6 – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-606484E6D7,2026-11-28 to 2026-11-29,Germany,CapitalCross 2026 – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-6FCCF847B9,2026-11-29,France,Canicross de la Côte d'Opale – Étaples-sur-Mer,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-E7A114E34B,2026-12-05 to 2026-12-06,France,La Montendraise – Canitrail,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-F37BFFAA46,2026-12-05 to 2026-12-06,France,Verrie Speed Dogs #2 – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-A035A14AA2,2026-12-05 to 2026-12-06,Germany,Mühlberg – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-6F9B0D89FA,2026-12-05 to 2026-12-06,Germany,Silberbergtrail Wingst – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-2B39E07D0E,2026-12-05 to 2026-12-06,Germany,Straßdorfer Staufertrail – Canicross,https://vdsv.de/kalender/,https://vdsv.de/kalender/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-89D86914C9,2026-12-06,UK,ATW Grafham Water 10 Mile Canicross,https://www.timeoutdoors.com/events/atw-grafham-water-trail-canicross/10-mile-canicross,https://www.timeoutdoors.com/events/atw-grafham-water-trail-canicross/10-mile-canicross,manual-source-check,medium,Automated access failed (403); do not infer an event change.,pending,2026-09-21,2026-09-23
EV-E2F02BD9E6,2026-12-12 to 2026-12-13,France,Cross & Dog de Candé – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-FE319FE9E2,2026-12-12 to 2026-12-13,France,Cross & Dog de Candé – Canitrail de Candé,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-21A0FDE12F,2026-12-13,France,Championnat régional Occitanie – Red Paws Race #2 – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-74E2ECD66A,2027-01-03,UK,Lakeland Paws – Grizedale Growl East Side,https://lakelandpaws.com/events/,https://lakelandpaws.com/events/,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-35F95ED00D,2027-01-10,France,Canicross de Cergy – L'île aux trésors,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-9BE578D770,2027-01-16,UK,Maverick New Forest Gravel 2027,https://www.maverick-race.com/products/2027/2027-01-16,https://www.maverick-race.com/products/2027/2027-01-16,manual-source-check,medium,Automated access failed (403); do not infer an event change.,pending,2026-09-21,2026-09-23
EV-71E54C7DB3,2027-01-24,France,Canicross de l'XTREM – 5e édition,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-56F578B3A9,2027-01-24,Netherlands,Nederlands Kampioenschap CC/BJ/Step,https://www.canicrossnederland.nl/kalender20262027.html,https://www.canicrossnederland.nl/kalender20262027.html,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-2C9D79DF1F,2027-01-30 to 2027-01-31,France,CANI TROPHY FONTAINEBLEAU 2027,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-D60B80C2B0,2027-01-30 to 2027-01-31,France,CANI TROPHY FONTAINEBLEAU 2027 – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-0FDC320873,2027-01-30 to 2027-01-31,France,CANI TROPHY FONTAINEBLEAU 2027 – Canitrail,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-9874512158,2027-01-30 to 2027-01-31,France,Trophée Canin des Plages 2027,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-3B5C22E4FB,2027-01-30 to 2027-01-31,France,Trophée Canin des Plages 2027 – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-25841356A4,2027-02-07,France,Doggy Deûle Run #2,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-256451926F,2027-02-07,France,Doggy Deûle Run #2 – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-29EE5DDBF0,2027-02-07,France,La Canidé'forts – 4e édition – Canicross,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar-map,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-D0043A3D03,2027-02-07,France,La Canidé’forts – 4e édition,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-958015A6C0,2027-02-07,Italy,Alpe Adria Ultra Trail Winter – dog-friendly non-competitive routes,https://www.alpeadriaultra.com/en/,https://www.alpeadriaultra.com/en/,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-EB61F1A006,2027-02-07,UK,Lakeland Paws – Whinlatter Tails South Side,https://lakelandpaws.com/events/,https://lakelandpaws.com/events/,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-41485D2622,2027-02-13 to 2027-02-14,France,5th Dirty Dog Race,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-4ED45FC2FE,2027-02-13 to 2027-02-14,France,5th Dirty Dog Race – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-B8AE2C9F28,2027-02-13 to 2027-02-14,France,Les Courses de l'Étang – Canicross,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-8873B78C67,2027-02-13 to 2027-02-14,France,Les courses de l’étang,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-AFF3417D9A,2027-02-13 to 2027-02-19,France,Trophée des Lacs,https://courses.ffslc.fr/calendar,https://courses.ffslc.fr/calendar,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
